Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Military expenditure (current LCU),MS.MIL.XPND.CN,Afghanistan,AFG,..,..,10970666667,12086666667,12675333333,13849666667,15230500000,12149000000,12027666667,15356000000,12199166667,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Albania,ALB,990000000,6519000000,17619000000,21450000000,17356000000,19321000000,19877000000,19820000000,19022000000,18788000000,16671000000,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Algeria,DZA,8100000000,1.42E+11,2.73E+11,3.34E+11,3.84E+11,4.22E+11,6.31E+11,7.23E+11,8.26E+11,9.56E+11,1.05E+12,..
Military expenditure (current LCU),MS.MIL.XPND.CN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Angola,AGO,52.391,5859850000,1.56E+11,2.37E+11,2.63E+11,3.22E+11,3.42E+11,3.96E+11,5.88E+11,6.73E+11,4.33E+11,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Argentina,ARG,1000000000,3265000000,7109000000,8769000000,11063000000,13541000000,16654000000,20703000000,28050000000,40209000000,50383600000,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Armenia,ARM,..,36715900000,95819300000,1.21E+11,1.31E+11,1.48E+11,1.46E+11,1.53E+11,1.82E+11,1.90E+11,2.14E+11,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Australia,AUS,8588500000,12546000000,20539000000,22214000000,24310500000,25311000000,25785000000,25320000000,25715000000,28603500000,31396000000,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Austria,AUT,1630000000,2090000000,2557100000,2557800000,2400500000,2430000000,2452800000,2480600000,2432000000,2491200000,2287500000,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Azerbaijan,AZE,..,107000000,812300000,1321000000,1183900000,1185200000,2432300000,2550300000,2642000000,2688100000,3050000000,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Bahamas,,,,,,,,,,,,,
Military expenditure (current LCU),MS.MIL.XPND.CN,Bahrain,BHR,90000000,135000000,241600000,270700000,311400000,316900000,388600000,444500000,506700000,554700000,537500000,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Bangladesh,BGD,12894972.66,38626475.42,65669753.05,70657622.22,86905808.54,113154000,133588500,149270500,159954500,184322500,208048000,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Belarus,BLR,..,1.23E+11,1.60E+12,1.89E+12,1.89E+12,2.29E+12,3.76E+12,6.81E+12,8.62E+12,1.03E+13,1.15E+13,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Belgium,BEL,3847400000,3463300000,3773000000,4298000000,4046000000,3960000000,3956000000,4023000000,3939000000,3913000000,3758000000,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Belize,BLZ,9537500,14232250,27518150,37435475,34535075,30674500,30832500,30438250,35557750,35520500,39264250,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Benin,BEN,8935000000,10321000000,..,28984000000,..,..,..,39935000000,42489000000,45976000000,53760490000,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Bolivia,BOL,434859676.8,1071270000,1737330000,2368340000,2427360000,2297350000,2799539000,3454102000,3900072000,4324866000,3698754000,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Bosnia and Herzegovina,BIH,..,..,278726000,311492000,341373000,324758000,298100000,300400000,291100000,280653000,286066000,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Botswana,BWA,290700000,942400000,1881250000,2269250000,2362250000,2368750000,2528750000,2540500000,2506750000,3400000000,4075000000,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Brazil,BRA,273000,20753000000,39887000000,44841000000,51283000000,59819000000,61788000000,66379000000,70881000000,76874200000,81873500000,..
Military expenditure (current LCU),MS.MIL.XPND.CN,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Brunei Darussalam,BRN,419000000,421000000,487000000,513000000,508750000,532750000,522500000,513900000,515600000,668725000,582992500,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Bulgaria,BGR,1740000,746000000,1475000000,1388000000,1355000000,1320000000,1166000000,1229100000,1325600000,1232000000,1166000000,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Burkina Faso,BFA,22997000000,26100000000,51673000000,52393000000,60125000000,61266000000,65519000000,75419000000,78816000000,1.01E+11,..,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Burundi,BDI,6782100000,30500000000,50100000000,52000000000,..,..,..,85060000000,94642000000,96169000000,1.04E+11,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Cabo Verde,CPV,..,814000000,640000000,809900000,667000000,686000000,774000000,835600000,815200000,835200000,887100000,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Cambodia,KHM,12400000000,3.11E+11,3.21E+11,3.35E+11,5.65E+11,7.02E+11,7.80E+11,8.76E+11,9.81E+11,1.12E+12,..,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Cameroon,CMR,49165000000,87597500000,1.42E+11,1.55E+11,1.62E+11,1.75E+11,1.64E+11,1.81E+11,1.94E+11,1.99E+11,2.09E+11,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Canada,CAN,13318250000,12325500000,18707750000,20638750000,21646000000,19898250000,21169750000,20435500000,19067500000,19748000000,19225500000,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Central African Republic,CAF,..,..,9160000000,14111000000,16995100000,25549000000,..,..,..,..,..,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Chad,TCD,9350000000,15200000000,1.87E+11,2.74E+11,3.49E+11,3.05E+11,2.88E+11,..,3.59E+11,1.94E+11,1.31E+11,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Chile,CHL,3.15E+11,1.14E+12,2.07E+12,2.38E+12,2.11E+12,2.40E+12,2.63E+12,2.66E+12,2.81E+12,2.92E+12,3.02E+12,..
Military expenditure (current LCU),MS.MIL.XPND.CN,China,CHN,48239063000,1.90E+11,5.18E+11,6.00E+11,7.22E+11,7.83E+11,8.91E+11,9.94E+11,1.10E+12,1.23E+12,1.34E+12,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Colombia,COL,4.47E+11,6.32E+12,1.41E+13,1.78E+13,1.95E+13,1.98E+13,1.90E+13,2.10E+13,2.34E+13,2.37E+13,2.70E+13,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Congo,,,,,,,,,,,,,
Military expenditure (current LCU),MS.MIL.XPND.CN,Congo,,,,,,,,,,,,,
Military expenditure (current LCU),MS.MIL.XPND.CN,Costa Rica,CRI,0,0,0,0,0,0,0,0,0,0,0,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Cote d'Ivoire,CIV,39199000000,..,1.55E+11,1.65E+11,1.98E+11,1.92E+11,1.69E+11,2.08E+11,2.12E+11,2.58E+11,2.75E+11,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Croatia,HRV,..,5461400000,5251100000,6395600000,5966100000,5585300000,5912800000,5588900000,5459300000,5211000000,5179000000,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Cuba,CUB,1380000000,..,1892400000,2021600000,2098900000,2140100000,2128000000,2880000000,2710000000,2852000000,..,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Cyprus,CYP,322000000,299000000,295000000,309800000,339300000,360600000,345100000,322600000,289910000,269690000,318900000,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Czech Republic,CZE,..,44669700000,54948800000,49827100000,51823900000,47705700000,43785200000,42007200000,40765300000,41990500000,43738100000,..
Military expenditure (current LCU),MS.MIL.XPND.CN,Denmark,DNK,16399000000,19339000000,22731000000,24410000000,23252000000,25328000000,24259000000,25617000000,23682000000,22769000000,23296000000,..
